id,uniqueIdentifier,class,order,family,genus,species,commonNameEnglish,taxonomyType,authority
2000003,7a6c93a5-bdf7-4182-82f9-7a67d23f7fe1,Mammalia,Rodentia,Abrocomidae,Abrocoma,bennettii,Bennett's Chinchilla Rat,biological,"Waterhouse, 1837"
2000004,25992d0a-5814-48ee-a2f3-e26862dbe0db,Mammalia,Rodentia,Abrocomidae,Abrocoma,boliviensis,Bolivian Chinchilla Rat,biological,"Glanz & Anderson, 1990"
2000005,b2307167-7f7b-4349-8f3d-6c1786720290,Mammalia,Rodentia,Abrocomidae,Abrocoma,budini,Budin's Chinchilla Rat,biological,"Thomas, 1920"
2000006,8bb0e53f-a1f8-4387-88fe-0eabf00d06f2,Mammalia,Rodentia,Abrocomidae,Abrocoma,cinerea,Ashy Chinchilla Rat,biological,"Thomas, 1919"
2000008,cd6e2617-a488-4647-a9d5-b67f7a18af60,Mammalia,Rodentia,Abrocomidae,Abrocoma,shistacea,Sierra Del Tontal Chinchilla Rat,biological,"Thomas, 1921"
2000009,5b5dbd07-8e39-4821-baed-682d2a3068dc,Mammalia,Rodentia,Abrocomidae,Abrocoma,uspallata,Uspallata Chinchilla Rat,biological,"Braun & Mares, 2002"
2000011,dda0bcc7-912e-41db-947c-b5902f86ab71,Mammalia,Rodentia,Cricetidae,Abrothrix,andinus,Andean Akodont,biological,"Philippi, 1858"
2000012,bc6edcdb-6a74-4d36-87c5-51aa3422849b,Mammalia,Rodentia,Cricetidae,Abrothrix,illutea,Gray Akodont,biological,"Thomas, 1925"
2000013,7846c264-b5f6-4de1-8605-e90f0b5cea65,Mammalia,Rodentia,Cricetidae,Abrothrix,jelskii,Jelski's Altiplano Mouse,biological,"Thomas, 1894"
2000014,4cf4b7d8-ca39-451d-ba5a-a9fa09b79671,Mammalia,Rodentia,Cricetidae,Abrothrix,lanosus,Woolly Grass Mouse,biological,"Thomas, 1897"
2000016,b43ea6f6-99d9-463c-b7be-69450c25cd0b,Mammalia,Rodentia,Cricetidae,Abrothrix,olivaceus,Olive Grass Mouse,biological,"Waterhouse, 1837"
2000017,60d096c9-c51c-4858-9998-a84bc80b1f9f,Mammalia,Rodentia,Cricetidae,Abrothrix,sanborni,Sanborn's Grass Mouse,biological,"Osgood, 1943"
2000018,2a27f7b4-522c-49b6-b6db-b199e2f918c8,Mammalia,Chiroptera,Pteropodidae,Acerodon,celebensis,Sulawesi Fruit Bat,biological,"Peters, 1867"
2000020,fa31493d-bebf-4972-af49-05ee60ac04eb,Mammalia,Chiroptera,Pteropodidae,Acerodon,jubatus,Golden-capped Fruit Bat,biological,"Eschscholtz, 1831"
2000021,2a0f799e-124d-4722-88a2-1671282d730d,Mammalia,Chiroptera,Pteropodidae,Acerodon,leucotis,Palawan Fruit Bat,biological,"Sanborn, 1950"
2000022,45213bd9-adb3-4b5f-b568-88bab9e68a5c,Mammalia,Chiroptera,Pteropodidae,Acerodon,mackloti,Sunda Fruit Bat,biological,"Temminck, 1837"
2000023,5a9b1344-2dd5-4162-9d85-77ee4648ad9c,Mammalia,Carnivora,Felidae,Acinonyx,jubatus,Cheetah,biological,"Schreber, 1775"
2000025,a36c8791-af49-4a3d-b535-f7f3ba2541e4,Mammalia,Rodentia,Muridae,Acomys,cahirinus,Cairo Spiny Mouse,biological,"É. Geoffroy, 1803"
2000026,7c20358c-701d-401d-b6ed-c537b7850284,Mammalia,Rodentia,Muridae,Acomys,cilicicus,Asia Minor Spiny Mouse,biological,"Spitzenberger, 1978"
2000027,d1b2280c-3751-4898-bfad-bfc5249d0993,Mammalia,Rodentia,Muridae,Acomys,cineraceus,Gray Spiny Mouse,biological,"Heuglin, 1877"
2000029,82717005-36a7-4f42-9bdd-5b100bdbd5b3,Mammalia,Rodentia,Muridae,Acomys,ignitus,Fiery Spiny Mouse,biological,"Dollman, 1910"
2000030,dc69fcb8-755b-40c2-8963-3c59754c31ba,Mammalia,Rodentia,Muridae,Acomys,johannis,Johan's Spiny Mouse,biological,"Thomas, 1912"
2000031,fbb27efd-21bb-48bb-a1b4-c62148a843ce,Mammalia,Rodentia,Muridae,Acomys,kempi,Kemp's Spiny Mouse,biological,"Dollman, 1911"
2000032,cddd0d1b-b8e0-4ab6-8a4e-cdb05588e8df,Mammalia,Rodentia,Muridae,Acomys,louisae,Louise's Spiny Mouse,biological,"Thomas, 1896"
2000034,061e4c94-730d-4be8-a07e-a785c8040096,Mammalia,Rodentia,Muridae,Acomys,mullah,Mullah Spiny Mouse,biological,"Thomas, 1904"
2000035,c22a602b-587f-4524-aa19-c271f3f15530,Mammalia,Rodentia,Muridae,Acomys,nesiotes,Cyprus Spiny Mouse,biological,"Bate, 1903"
2000036,e073f386-33dd-4ffa-8d07-d2bd5ea62384,Mammalia,Rodentia,Muridae,Acomys,percivali,Percival's Spiny Mouse,biological,"Dollman, 1911"
2000038,b9befa85-bf35-452a-910c-245f05aebb09,Mammalia,Rodentia,Muridae,Acomys,seurati,Seurat's Spiny Mouse,biological,"Heim de Balsac, 1936"
2000039,64e25c61-0d6b-4598-81ca-59f744089e68,Mammalia,Rodentia,Muridae,Acomys,spinosissimus,Spiny Mouse,biological,"Peters, 1852"
2000040,cb1943eb-df74-4674-9748-0ea9b9737927,Mammalia,Rodentia,Muridae,Acomys,subspinosus,Cape Spiny Mouse,biological,"Waterhouse, 1838"
2000042,ac410748-54b9-4835-9092-77c00b1c36c4,Mammalia,Rodentia,Octodontidae,Aconaemys,fuscus,Chilean Rock Rat,biological,"Waterhouse, 1842"
2000043,d1a958b1-9ebd-40d4-8c15-a0f850221506,Mammalia,Rodentia,Octodontidae,Aconaemys,porteri,Porter's Rock Rat,biological,"Thomas, 1917"
2000044,b51c3a65-69e2-470d-b8e1-66c300921feb,Mammalia,Rodentia,Octodontidae,Aconaemys,sagei,Sage's Rock Rat,biological,"Pearson, 1984"
2000046,af37c464-6082-4a06-a8e0-75c3ec998ad4,Mammalia,Cetartiodactyla,Bovidae,Addax,nasomaculatus,Addax,biological,"de Blainville, 1816"
2000047,e830c611-8df6-451c-bb97-bb3ebfa13e76,Mammalia,Rodentia,Cricetidae,Aegialomys,galapagoensis,Galapagos Rice Rat,biological,"Waterhouse, 1839"
2000048,54a4efd7-8ab6-4806-8a61-c049d5fb8d89,Mammalia,Rodentia,Cricetidae,Aegialomys,xanthaeolus,Yellowish Rice Rat,biological,"Thomas, 1894"
2000050,60a79a64-faa7-43ec-86e7-a8d8843aee98,Mammalia,Rodentia,Cricetidae,Aepeomys,reigi,Reig's Aepeomys,biological,"Ochoa G., Aguilera, Pacheco & Soriano, 2001"
