,alpine_name,WI Name,t_highlighted,t_animal_recognizable,t_individual_id,t_individual_animal_notes,t_markings
44,AmericanBadger,American Badger,,,,,
2,AmericanBlackBear,American Black Bear,,,,,
27,AmericanMarten,American Marten,,,,,
37,AmericanPika,American Pika,,,,,
70,Bat,Bat,,,,,
18,BeldingsGroundSquirrel,Belding's Ground Squirrel,,,,,
16,Bird,Bird,,,,,
58,BlueGrouse,Blue Grouse,,,,,
26,BlueJay,Blue Jay,,,,,
3,Bobcat,Bobcat,,,,,
59,Carnivorous Mammal,Carnivorous Mammal,,,,,
19,Chipmunk,Neotamias Species,,,,,
,ClarksNutcracker,Clark's Nutcracker,,,,,
4,Coyote,Coyote,,,,,
5,Coyote_SkinnyTail,Coyote,,Yes,Coyote_0001,Coyote_SkinnyTail,hairless tail
36,DarkEyedJunco,Dark-eyed Junco,,,,,
6,DouglasSquirrel,Douglas's Squirrel,,,,,
30,Fisher,fisher,1,,,,
20,GoldenMantledGroundSquirrel,Golden Mantled Ground Squirrel,,,,,
72,GrayFox,Grey Fox,,,,,
65,Insect,Insect,,,,,
53,Kestrel,American Kestrel,,,,,
48,KitFox,American Kestrel,,,,,
73,Lagomorpha Order,Lagomorpha Order,,,,,
39,LongTailedWeasel,Long-tailed Weasel,,,,,
7,Mammal,Mammal,,,,,
71,MammaliaClass,Mammal,,,,,
69,MountainChickadee,Mountain Chickadee,,,,,
32,MountainLion,Puma,,,,,
64,MountainQuail,Mountain Quail,,,,,
8,MuleDeer,Mule Deer,,,,,
55,MuleDeer_marked,Mule Deer,,Yes,,MuleDeer_marked,orange collar
56,Muridae Family,Muridae Family,,,,,
9,other crew,Human-Camera Trapper,,,,,
10,other false trigger,Blank,,,,otherFalseTrigger,
11,other human,Human,,,,,
12,other scale,Scale,,,,,
45,otherBuriedSnow,Blank,,,,otherBuriedSnow,
41,otherCamMovement,Blank,,,,otherCamMovement,
22,otherCrew,Human-Camera Trapper,,,,,
13,otherDog,Domestic Dog,,,,,
47,otherFalseTrigger,Blank,,,,otherFalseTrigger,
29,otherHuman,Human,,,,,
57,otherMalfunction,Blank,,,,otherMalfunction,
23,otherMissedTrigger,Blank,,,,otherFalseTrigger,
24,otherScale,Scale,,,,,
42,otherScenery,Blank,,,,otherScenery,
14,otherSetup_Pickup,Setup_Pickup,,,,,
66,otherSky,Blank,,,,otherSky,
43,otherUnknown,Unknown Species,,,,,
15,otherWind,Blank,,,,otherWind,
49,Passeriformes Order,Passeriformes Order,,,,,
33,Pipit,Buff-bellied Pipit,,,,,
28,Porcupine,North American Porcupine,,,,,
50,Ptarmigan,White-tailed Ptarmigan,,,,,
51,Raven,Common Raven,,,,,
62,RedFox,Red Fox,1,,,,
17,Robin,American Robin,,,,,
52,RockWren,Rock Wren,,,,,
35,Rodent,Rodent,,,,,
38,RosyFinch,Black Rosy-finch,,,,,
34,ShortTailedWeasel,Stoat,,,,,
61,SierraBighornSheep,Bighorn Sheep,1,,,,
68,StellarsJay,Steller's Jay,,,,,
60,Tyrannidae Family,Tyrannidae Family,,,,,
25,UnknownSpecies,Unknown Species,,,,,
63,Weasel Family,Weasel Family,,,,,
40,WesternSpottedSkunk,Western Spotted Skunk,,,,,
46,WhiteCrownedSparrow,White-crowned Sparrow,,,,,
21,WhiteTailedJackrabbit,White-tailed Jackrabbit,,,,,
67,WilliamsonSapsucker,Williamson's Sapsucker,,,,,
54,Woodrat,Neotoma Species,,,,,
31,YellowBelliedMarmot,Yellow-bellied Marmot,,,,,
