DateSetup,GeographicSiteName,StudyArea,Cell,Site,YearLocationCellSite
19-Dec-15,Mammoth Pass,SA_Mammoth Lakes Basin,21750,1,2015_ML_21750_1
05-Oct-16,B/t Tomahawk & Lwr Desolation Lk,SA_Humphreys Basin,20063,1,2016_HB_20063_1
06-Oct-16,Muriel Lake,SA_Humphreys Basin,20063,2,2016_HB_20063_2
05-Oct-16,Below Lobe Lks,SA_Humphreys Basin,20123,1,2016_HB_20123_1
05-Oct-16,Pack Saddle Lk,SA_Humphreys Basin,20123,2,2016_HB_20123_2
06-Oct-16,Desolation Lake,SA_Humphreys Basin,20124,1,2016_HB_20124_1
06-Oct-16,Lower Desolation Lk,SA_Humphreys Basin,20124,2,2016_HB_20124_2
05-Oct-16,Ramona Lk,SA_Humphreys Basin,20183,1,2016_HB_20183_1
06-Oct-16,Above Lower Honeymoo,SA_Humphreys Basin,20183,2,2016_HB_20183_2
06-Oct-16,Carol Col,SA_Humphreys Basin,20184,1,2016_HB_20184_1
06-Oct-16,Tomahawk Lk N,SA_Humphreys Basin,20184,2,2016_HB_20184_2
05-Oct-16,Hutchinson Meadow,SA_Humphreys Basin,20244,1,2016_HB_20244_1
06-Oct-16,Pilot Knob,SA_Humphreys Basin,20244,2,2016_HB_20244_2
04-Oct-16,L Lake,SA_Humphreys Basin,20245,1,2016_HB_20245_1
06-Oct-16,Coca Cola Col,SA_Humphreys Basin,20245,2,2016_HB_20245_2
05-Oct-16,East Pinnacles,SA_Humphreys Basin,20304,1,2016_HB_20304_1
05-Oct-16,West Pinnacles,SA_Humphreys Basin,20304,2,2016_HB_20304_2
04-Oct-16,Puppet Gap,SA_Humphreys Basin,20305,1,2016_HB_20305_1
04-Oct-16,Lower Royce Lk,SA_Humphreys Basin,20305,2,2016_HB_20305_2
04-Oct-16,Upper Merriam,SA_Humphreys Basin,20365,1,2016_HB_20365_1
04-Oct-16,Merriam Lower,SA_Humphreys Basin,20365,2,2016_HB_20365_2
04-Oct-16,Pine Creek Pass,SA_Humphreys Basin,20366,1,2016_HB_20366_1
03-Oct-16,French Lake,SA_Humphreys Basin,20366,2,2016_HB_20366_2
04-Oct-16,Middle Royce Lk,SA_Humphreys Basin,20426,1,2016_HB_20426_1
04-Oct-16,Upper Royce Lk,SA_Humphreys Basin,20426,2,2016_HB_20426_2
14-Jan-16,Woods Lake,SA_Mammoth Lakes Basin,21571,1,2016_ML_21571_1
05-Feb-16,Deer Lakes,SA_Mammoth Lakes Basin,21571,2,2016_ML_21571_2
21-Jan-16,Mammoth Crest,SA_Mammoth Lakes Basin,21630,1,2016_ML_21630_1
21-Jan-16,Mammoth Crest-west of deer lakes,SA_Mammoth Lakes Basin,21630,2,2016_ML_21630_2
14-Jan-16,Emerald Lake,SA_Mammoth Lakes Basin,21691,1,2016_ML_21691_1
14-Jan-16,Lake Barrett,SA_Mammoth Lakes Basin,21691,2,2016_ML_21691_2
21-Jan-16,Mammoth Crest,SA_Mammoth Lakes Basin,21750,2,2016_ML_21750_2
02-Feb-16,,SA_North Fork Bishop Creek,19942,1,2016_NB_19942_1
29-Apr-16,,SA_North Fork Bishop Creek,19942,1.1,2016_NB_19942_1.1
02-Feb-16,North Lake Campground,SA_North Fork Bishop Creek,19942,2,2016_NB_19942_2
08-Feb-16,,SA_North Fork Bishop Creek,20002,1,2016_NB_20002_1
25-Feb-16,below piute lake,SA_North Fork Bishop Creek,20002,2,2016_NB_20002_2
26-Mar-16,below piute lake 2,SA_North Fork Bishop Creek,20002,2.1,2016_NB_20002_2.1
08-Feb-16,Paiute Pass,SA_North Fork Bishop Creek,20063,1,2016_NB_20063_1
24-Jul-16,Upper Lubkin,SA_North Fork Lubkin Creek,16678,1,2016_NL_16678_1
24-Jul-16,Upper Lubkin,SA_North Fork Lubkin Creek,16678,2,2016_NL_16678_2
11-Feb-16,Finch Lake,SA_Rock Creek,20549,1,2016_RC_20549_1
24-Feb-16,Upper Morgan Lk,SA_Rock Creek,20549,2,2016_RC_20549_2
11-Feb-16,Treasure Lakes,SA_Rock Creek,20609,1,2016_RC_20609_1
11-Feb-16,Spire Lake,SA_Rock Creek,20609,2,2016_RC_20609_2
28-Jan-16,Long Lake,SA_Rock Creek,20670,1,2016_RC_20670_1
28-Jan-16,Box Lake,SA_Rock Creek,20670,2,2016_RC_20670_2
03-Apr-16,Holiday Campground,SA_Rock Creek,21034,1,2016_RC_21034_1
03-Apr-16,Swall Bench Rd,SA_Rock Creek,21034,2,2016_RC_21034_2
09-Mar-17,lower desolation west,SA_Humphreys Basin,20063,1.1,2017_HB_20063_1.1
10-Mar-17,lower lobe 1.1,SA_Humphreys Basin,20123,1.1,2017_HB_20123_1.1
09-Mar-17,Desolation lake 1.1,SA_Humphreys Basin,20124,1.1,2017_HB_20124_1.1
22-Apr-17,ramona lk 1.1,SA_Humphreys Basin,20183,1.1,2017_HB_20183_1.1
30-Apr-17,knob pass 2.1,SA_Humphreys Basin,20244,2.1,2017_HB_20244_2.1
09-Mar-17,Coca Cola Pass 2.1,SA_Humphreys Basin,20245,2.1,2017_HB_20245_2.1
30-Apr-17,puppet gap 1.1,SA_Humphreys Basin,20305,1.1,2017_HB_20305_1.1
04-Oct-17,Gabbot Pass,SA_Mono Creek,20669,1,2017_MC_20669_1
04-Oct-17,Italy Lake,SA_Mono Creek,20669,2,2017_MC_20669_2
04-Oct-17,Recess Pass,SA_Mono Creek,20730,1,2017_MC_20730_1
05-Oct-17,Mills Lake Drainage,SA_Mono Creek,20730,2,2017_MC_20730_2
04-Oct-17,second recess trails end,SA_Mono Creek,20790,1,2017_MC_20790_1
04-Oct-17,lower mills lake,SA_Mono Creek,20790,2,2017_MC_20790_2
02-Oct-17,summit lake ridge,SA_Mono Creek,20791,1,2017_MC_20791_1
04-Oct-17,Golden Lake,SA_Mono Creek,20791,2,2017_MC_20791_2
04-Oct-17,Fourth Recess,SA_Mono Creek,20851,1,2017_MC_20851_1
04-Oct-17,Third Recess,SA_Mono Creek,20851,2,2017_MC_20851_2
